flight_id,origin,dest,scheduled_arrival,actual_arrival
1,IXB,JAI,2024-12-17 17:59,2024-12-17 19:11
2,HYD,PAT,2023-07-28 01:52,2023-07-28 03:51
3,BLR,PAT,2023-01-30 17:01,2023-01-30 18:49
4,AMD,SXR,2023-09-20 07:03,2023-09-20 08:54
5,GOI,BOM,2023-12-01 07:48,2023-12-01 08:00
6,IXB,JAI,2023-12-07 08:45,2023-12-07 10:16
7,BBI,PNQ,2024-10-09 10:43,2024-10-09 12:04
8,VNS,COK,2024-07-10 18:18,2024-07-10 19:36
9,PNQ,SXR,2023-09-01 08:17,2023-09-01 09:29
10,IXB,SXR,2024-08-18 06:30,2024-08-18 06:32
11,AMD,JAI,2023-01-31 01:53,2023-01-31 02:38
12,DEL,CCU,2024-10-23 19:15,2024-10-23 21:02
13,COK,BLR,2023-11-03 09:05,2023-11-03 10:58
14,BDQ,GAU,2023-04-02 06:34,2023-04-02 07:13
15,IXC,IXB,2023-10-06 12:12,2023-10-06 13:58
16,GOI,BLR,2024-02-12 07:07,2024-02-12 07:58
17,GOI,PNQ,2024-10-13 04:52,2024-10-13 06:16
18,BDQ,AMD,2024-05-26 08:44,2024-05-26 10:01
19,IXC,GOI,2023-03-12 22:08,2023-03-12 22:46
20,MAA,GAU,2024-09-13 09:11,2024-09-13 09:46
21,AMD,MAA,2024-11-14 08:12,2024-11-14 09:59
22,PAT,BLR,2023-05-15 08:46,2023-05-15 10:31
23,JAI,BBI,2023-05-26 06:25,2023-05-26 08:12
24,MAA,GAU,2023-07-27 01:57,2023-07-27 02:17
25,SXR,GOI,2023-02-06 23:18,2023-02-06 23:36
26,VNS,AMD,2024-09-23 15:49,2024-09-23 16:50
27,AMD,CCU,2023-11-27 11:09,2023-11-27 12:50
28,BLR,CCU,2023-08-22 16:25,2023-08-22 16:37
29,MAA,PNQ,2024-03-14 12:13,2024-03-14 12:40
30,CCU,DEL,2023-04-28 22:48,2023-04-28 23:01
31,JAI,PNQ,2024-12-22 20:16,2024-12-22 20:16
32,BLR,AMD,2023-06-05 14:34,2023-06-05 15:18
33,IXB,JAI,2023-06-29 03:16,2023-06-29 04:20
34,DEL,BLR,2023-11-01 12:32,2023-11-01 13:59
35,GAU,BDQ,2023-11-08 03:57,2023-11-08 04:03
36,BLR,BDQ,2024-02-07 23:19,2024-02-07 23:22
37,SXR,GOI,2023-01-28 18:00,2023-01-28 19:34
38,BLR,HYD,2023-01-17 08:31,2023-01-17 10:12
39,LKO,BOM,2024-01-24 07:00,2024-01-24 08:52
40,MAA,IXB,2024-01-28 07:03,2024-01-28 08:06
41,SXR,DEL,2024-04-13 13:58,2024-04-13 14:56
42,LKO,IXB,2024-04-08 17:49,2024-04-08 19:32
43,GAU,LKO,2023-07-02 08:40,2023-07-02 09:46
44,JAI,SXR,2024-03-17 02:28,2024-03-17 02:52
45,CCU,SXR,2024-11-11 16:22,2024-11-11 17:34
46,GAU,BOM,2023-07-21 03:56,2023-07-21 04:40
47,IXC,SXR,2024-06-12 10:12,2024-06-12 11:16
48,LKO,VNS,2023-01-29 20:01,2023-01-29 20:30
49,GOI,BLR,2024-04-03 05:46,2024-04-03 06:56
50,MAA,HYD,2023-04-28 02:55,2023-04-28 03:55
51,IXB,BBI,2023-11-17 04:27,2023-11-17 05:52
52,SXR,IXC,2023-09-15 16:59,2023-09-15 17:01
53,PAT,VNS,2024-04-20 00:45,2024-04-20 02:28
54,BBI,COK,2024-04-15 09:26,2024-04-15 09:49
55,AMD,IXC,2023-01-15 06:53,2023-01-15 08:07
56,COK,PNQ,2024-07-28 07:17,2024-07-28 08:38
57,JAI,IXC,2024-07-01 01:18,2024-07-01 02:19
58,JAI,DEL,2024-05-21 02:59,2024-05-21 04:25
59,DEL,LKO,2024-05-17 00:14,2024-05-17 01:29
60,IXC,BOM,2024-09-15 10:17,2024-09-15 11:03
61,JAI,VNS,2023-06-18 10:01,2023-06-18 11:04
62,MAA,DEL,2023-02-01 21:20,2023-02-01 22:19
63,BDQ,CCU,2023-07-25 17:51,2023-07-25 18:50
64,BBI,AMD,2023-02-03 03:31,2023-02-03 04:29
65,BDQ,SXR,2024-12-10 04:37,2024-12-10 06:01
66,PNQ,DEL,2024-06-03 06:12,2024-06-03 07:46
67,DEL,COK,2024-02-20 00:34,2024-02-20 02:06
68,COK,DEL,2023-05-29 05:32,2023-05-29 05:33
69,CCU,BOM,2023-01-21 04:29,2023-01-21 06:05
70,COK,MAA,2024-01-20 08:37,2024-01-20 10:21
71,MAA,BOM,2024-12-17 18:46,2024-12-17 20:15
72,GAU,PNQ,2024-09-14 12:31,2024-09-14 13:05
73,HYD,BBI,2024-09-06 12:20,2024-09-06 13:09
74,SXR,VNS,2024-09-08 20:42,2024-09-08 20:57
75,LKO,IXB,2023-04-17 20:43,2023-04-17 21:27
76,MAA,GAU,2023-04-06 06:21,2023-04-06 07:50
77,VNS,MAA,2024-08-20 21:38,2024-08-20 22:21
78,SXR,BOM,2024-06-07 09:38,2024-06-07 11:08
79,PAT,BOM,2023-01-02 04:19,2023-01-02 04:37
80,COK,PAT,2024-10-09 03:34,2024-10-09 04:37
81,GOI,BDQ,2023-06-23 20:42,2023-06-23 20:53
82,GOI,BOM,2023-11-13 12:45,2023-11-13 14:41
83,PNQ,MAA,2023-01-28 17:34,2023-01-28 19:21
84,BLR,GAU,2024-12-07 07:50,2024-12-07 08:40
85,BBI,PNQ,2024-05-21 19:32,2024-05-21 20:19
86,PNQ,IXB,2023-03-07 12:50,2023-03-07 13:38
87,GAU,BLR,2024-01-10 03:44,2024-01-10 03:51
88,IXC,HYD,2023-02-08 11:49,2023-02-08 13:12
89,BOM,GOI,2023-10-06 00:33,2023-10-06 01:33
90,GOI,VNS,2024-02-04 06:07,2024-02-04 07:42
91,VNS,CCU,2023-06-17 17:29,2023-06-17 18:22
92,JAI,PAT,2023-07-07 21:52,2023-07-07 22:15
93,BDQ,AMD,2023-09-11 12:39,2023-09-11 14:11
94,AMD,PAT,2024-02-13 14:21,2024-02-13 15:53
95,GOI,IXC,2024-08-09 12:05,2024-08-09 13:43
96,JAI,BBI,2023-07-07 11:03,2023-07-07 12:48
97,VNS,GAU,2023-10-29 03:20,2023-10-29 04:23
98,IXB,SXR,2024-12-20 21:18,2024-12-20 23:17
99,CCU,COK,2024-01-09 06:55,2024-01-09 08:53
100,HYD,VNS,2023-08-10 06:05,2023-08-10 07:21
101,MAA,JAI,2023-05-18 09:27,2023-05-18 09:33
102,CCU,JAI,2023-11-20 23:38,2023-11-20 23:51
103,IXC,DEL,2023-02-25 03:24,2023-02-25 03:31
104,AMD,DEL,2023-04-26 09:10,2023-04-26 10:10
105,HYD,BLR,2023-04-28 10:08,2023-04-28 10:58
106,BLR,BBI,2024-01-31 21:59,2024-01-31 23:58
107,IXB,SXR,2023-10-12 10:58,2023-10-12 11:26
108,MAA,BDQ,2024-12-23 19:45,2024-12-23 21:22
109,JAI,BBI,2023-10-15 16:15,2023-10-15 17:30
110,BDQ,MAA,2024-09-03 22:09,2024-09-03 23:52
111,PNQ,VNS,2023-10-20 08:03,2023-10-20 08:52
112,COK,BDQ,2024-12-08 03:58,2024-12-08 04:29
113,SXR,BBI,2024-07-08 00:57,2024-07-08 01:14
114,GOI,MAA,2023-11-18 04:58,2023-11-18 05:58
115,PNQ,IXC,2023-07-21 07:47,2023-07-21 09:37
116,BOM,LKO,2024-01-30 22:45,2024-01-30 22:56
117,VNS,COK,2024-01-27 11:41,2024-01-27 12:59
118,AMD,SXR,2023-06-23 23:30,2023-06-24 00:10
119,PAT,BLR,2023-02-16 07:01,2023-02-16 08:06
120,VNS,IXC,2023-06-06 18:08,2023-06-06 19:04
121,GOI,HYD,2024-02-05 06:21,2024-02-05 06:40
122,DEL,VNS,2024-05-03 07:29,2024-05-03 09:19
123,JAI,VNS,2023-07-26 16:06,2023-07-26 16:30
124,CCU,PNQ,2024-09-29 04:24,2024-09-29 06:15
125,GOI,JAI,2024-09-13 10:17,2024-09-13 10:36
126,BDQ,HYD,2024-03-29 05:11,2024-03-29 05:37
127,IXB,GAU,2024-05-31 08:50,2024-05-31 09:40
128,BDQ,COK,2024-02-07 08:51,2024-02-07 10:26
129,PAT,IXC,2024-04-02 12:56,2024-04-02 14:25
130,BLR,AMD,2024-07-21 08:38,2024-07-21 09:47
131,COK,IXC,2024-12-12 16:27,2024-12-12 18:13
132,BDQ,PAT,2024-02-27 06:23,2024-02-27 08:10
133,LKO,AMD,2024-07-03 04:06,2024-07-03 05:21
134,BDQ,VNS,2024-01-02 06:26,2024-01-02 07:55
135,AMD,CCU,2023-10-26 22:00,2023-10-26 22:34
136,JAI,BOM,2024-07-07 14:54,2024-07-07 16:41
137,MAA,JAI,2023-07-16 22:38,2023-07-17 00:29
138,LKO,COK,2024-10-15 01:59,2024-10-15 03:51
139,COK,DEL,2023-12-20 18:51,2023-12-20 19:15
140,HYD,MAA,2023-11-22 14:28,2023-11-22 15:51
141,CCU,JAI,2023-12-22 01:10,2023-12-22 01:21
142,PNQ,GAU,2024-12-31 05:56,2024-12-31 06:49
143,IXC,BLR,2023-11-21 11:48,2023-11-21 13:06
144,GAU,AMD,2023-07-30 19:11,2023-07-30 20:58
145,BOM,LKO,2024-07-14 20:21,2024-07-14 20:40
146,AMD,JAI,2023-06-08 10:40,2023-06-08 11:29
147,SXR,MAA,2023-08-18 04:51,2023-08-18 06:49
148,CCU,MAA,2024-08-28 06:40,2024-08-28 06:56
149,PAT,COK,2023-02-15 10:15,2023-02-15 10:48
150,HYD,IXB,2023-09-26 23:53,2023-09-27 00:46
151,CCU,IXB,2024-02-27 13:22,2024-02-27 14:03
152,GAU,VNS,2023-11-04 17:44,2023-11-04 19:44
153,VNS,GAU,2024-05-21 12:26,2024-05-21 13:20
154,PNQ,BLR,2023-04-08 08:41,2023-04-08 10:30
155,VNS,JAI,2024-08-10 15:58,2024-08-10 16:48
156,IXC,PAT,2023-01-25 12:23,2023-01-25 12:45
157,BLR,GAU,2024-05-19 17:50,2024-05-19 18:55
158,IXB,GOI,2024-12-23 21:58,2024-12-23 23:55
159,IXB,MAA,2023-10-05 02:27,2023-10-05 03:49
160,VNS,JAI,2023-08-05 00:51,2023-08-05 01:30
161,BOM,BDQ,2024-11-01 23:47,2024-11-02 01:26
162,LKO,BLR,2023-08-17 15:27,2023-08-17 16:24
163,PAT,HYD,2024-04-11 16:09,2024-04-11 16:41
164,GAU,LKO,2024-11-06 01:50,2024-11-06 03:13
165,GAU,BDQ,2024-06-02 03:29,2024-06-02 03:38
166,HYD,BBI,2024-02-16 21:13,2024-02-16 22:47
167,IXB,SXR,2024-05-01 07:55,2024-05-01 08:10
168,IXC,JAI,2023-12-06 01:48,2023-12-06 02:50
169,LKO,JAI,2024-10-30 03:12,2024-10-30 03:44
170,HYD,PAT,2024-04-19 22:42,2024-04-19 23:05
171,HYD,BOM,2024-06-08 08:57,2024-06-08 10:05
172,IXC,IXB,2023-11-10 15:04,2023-11-10 15:37
173,MAA,CCU,2023-01-07 21:28,2023-01-07 22:10
174,SXR,PAT,2023-01-28 22:49,2023-01-29 00:02
175,BLR,CCU,2024-01-27 20:59,2024-01-27 21:47
176,MAA,JAI,2024-12-13 07:11,2024-12-13 07:22
177,IXB,SXR,2024-09-11 03:23,2024-09-11 04:33
178,GAU,HYD,2024-06-07 20:33,2024-06-07 21:54
179,BDQ,GOI,2024-06-18 09:33,2024-06-18 10:35
180,IXC,JAI,2024-10-19 14:32,2024-10-19 15:48
